Topic,Count,话题,Name,Representation,Representative_Docs
60,44,,60_酒席_张女士_婚宴_观看,"['酒席', '张女士', '婚宴', '观看', '老家', '食材', '远嫁', '丹东', '新人', '是从']","['新人 封控 隔 空吃面 观看 婚宴 酒席 食材 已备 好气 好笑 月 10 日 四川 成都 张女士 丈夫 疫情 封控 出席 女方 老家 辽宁 出阁 宴 只能 吃面 隔空 观看 婚宴 张女士 是从 辽宁 丹东 远嫁 四川 老家 办 酒席 食材 家人 商量 酒席 照办 张女士 称 感觉 \u200b', '新人 封控 隔 空吃面 观看 婚宴 \xa0 酒席 食材 已备 好气 好笑 月 10 日 四川 成都 张女士 丈夫 疫情 封控 出席 女方 老家 辽宁 出阁 宴 只能 吃面 隔空 观看 婚宴 张女士 是从 辽宁 丹东 远嫁 四川 老家 办 酒席 食材 家人 商量 酒席 照办 张女士 称 感觉 \u200b', '新人 封控 隔 空吃面 观看 婚宴 酒席 食材 已备 好气 好笑 月 10 日 四川 成都 张女士 丈夫 疫情 封控 出席 女方 老家 辽宁 出阁 宴 只能 吃面 隔空 观看 婚宴 张女士 是从 辽宁 丹东 远嫁 四川 老家 办 酒席 食材 家人 商量 酒席 照办 张女士 称 感觉 \u200b']"
61,44,疫情形势,61_形势严峻_高位_省份_疾控中心,"['形势严峻', '高位', '省份', '疾控中心', '出行', '风险', '提醒', '持续', '长沙市', '加大']","['防疫 提醒 2022 年 月 27 日 近期 疫情 防控 形势严峻 全国 地区 本土 疫情 疫情 输入 扩散 风险 持续 加大 控制 疫情 输入 风险 长沙市 疾控中心 提醒 提倡 过节 国庆 假期 倡导 市民 过节 尽量减少 跨地市 出行 人群 流动 引发 疫情 传播 风险 确需 出行 \u200b', '防疫 提醒 2022 年 月 25 日 近期 疫情 防控 形势严峻 全国 地区 本土 疫情 疫情 输入 扩散 风险 持续 加大 控制 疫情 输入 风险 长沙市 疾控中心 提醒 提倡 过节 国庆 假期 倡导 市民 过节 尽量减少 跨地市 出行 人群 流动 引发 疫情 传播 风险 确需 出行 \u200b', '防疫 提醒 2022 年 月 26 日 近期 疫情 防控 形势严峻 全国 地区 本土 疫情 疫情 输入 扩散 风险 持续 加大 控制 疫情 输入 风险 长沙市 疾控中心 提醒 提倡 过节 国庆 假期 倡导 市民 过节 尽量减少 跨地市 出行 人群 流动 引发 疫情 传播 风险 确需 出行 \u200b']"
62,44,,62_夏邑_斑马_哈达_送别,"['夏邑', '斑马', '哈达', '送别', '多人', '杨世平', '烧烤', '献上', '石棉', '队长']","['蓝 V 视界 天 转移 受灾 群众 200 多人 泸定 村民 河南 救援 队员 献 哈达 近日 四川 甘孜 河南 夏邑 斑马 救援队 14 名 队员 泸定 地震 天 救援 工作 中 成功 转移 受灾 群众 200 多人 搜 出 遇难者 圆满完成 救援 踏上 回家 路 村民 献上 哈达 致谢 送别 夏邑 斑马 救援队 队长 杨世平 介绍 搜救 工作 \u200b', '蓝 V 视界 天 转移 受灾 群众 200 多人 泸定 村民 河南 救援 队员 献 哈达 近日 四川 甘孜 河南 夏邑 斑马 救援队 14 名 队员 泸定 地震 天 救援 工作 中 成功 转移 受灾 群众 200 多人 搜 出 遇难者 圆满完成 救援 踏上 回家 路 村民 献上 哈达 致谢 送别 夏邑 斑马 救援队 队长 杨世平 介绍 搜救 工作 \u200b', '蓝 V 视界 天 转移 受灾 群众 200 多人 泸定 村民 河南 救援 队员 献 哈达 近日 四川 甘孜 河南 夏邑 斑马 救援队 14 名 队员 泸定 地震 天 救援 工作 中 成功 转移 受灾 群众 200 多人 搜 出 遇难者 圆满完成 救援 踏上 回家 路 村民 献上 哈达 致谢 送别 夏邑 斑马 救援队 队长 杨世平 介绍 搜救 工作 \u200b']"
63,44,,63_倪太高_村民_连续_找到,"['倪太高', '村民', '连续', '找到', '救甘宇', '全过程', '搜寻', '上山', '见面', '进山']","['村民 讲述 救甘宇 全过程 村民 连续 天 自发 上山 搜寻 找到 甘宇 月 21 日 四川 泸定 地震 中 保护 村民 失联 17 天 甘宇 村民 倪太高 找到 倪太高 回忆 连续 两天 进山 找到 甘宇 一点 路 绕 走 见面 大哭 一场 说 好人 甘宇 生命 体征 平稳 倪太高 说 好人 \u200b', '村民 讲述 救甘宇 全过程 村民 连续 天 自发 上山 搜寻 找到 甘宇 月 21 日 四川 泸定 地震 中 保护 村民 失联 17 天 甘宇 村民 倪太高 找到 倪太高 回忆 连续 两天 进山 找到 甘宇 一点 路 绕 走 见面 大哭 一场 说 好人 甘宇 生命 体征 平稳 倪太高 说 好人 \u200b', '村民 讲述 救甘宇 全过程 村民 连续 天 自发 上山 搜寻 找到 甘宇 月 21 日 四川 泸定 地震 中 保护 村民 失联 17 天 甘宇 村民 倪太高 找到 倪太高 回忆 连续 两天 进山 找到 甘宇 一点 路 绕 走 见面 大哭 一场 说 好人 甘宇 生命 体征 平稳 倪太高 说 好人 \u200b']"
64,44,地震救援,64_猪肉_投放_改革_储备,"['猪肉', '投放', '改革', '储备', '政府', '发展', '委将', '市场供应', '两节', '省直']","['四川 启动 政府 猪肉 储备 投放 四川 发展 改革 消息 切实 保障 中秋 国庆 两节 重点 时段 猪肉 市场供应 价格 稳定 国家 发展 改革 委 工作 安排 成都 疫情 防控 形势 省 发展 改革 委将 会同 省直 相关 部门 分 批次 启动 省级 政府 猪肉 储备 投放 同步 指导 各市 州 抓紧 地方 政府 猪 \u200b', '四川 启动 政府 猪肉 储备 投放 四川 发展 改革 消息 切实 保障 中秋 国庆 两节 重点 时段 猪肉 市场供应 价格 稳定 国家 发展 改革 委 工作 安排 成都 疫情 防控 形势 省 发展 改革 委将 会同 省直 相关 部门 分 批次 启动 省级 政府 猪肉 储备 投放 同步 指导 各市 州 抓紧 地方 政府 猪肉 \u200b', '四川 启动 政府 猪肉 储备 投放 四川 发展 改革 消息 切实 保障 中秋 国庆 两节 重点 时段 猪肉 市场供应 价格 稳定 国家 发展 改革 委 工作 安排 成都 疫情 防控 形势 省 发展 改革 委将 会同 省直 相关 部门 分 批次 启动 省级 政府 猪肉 储备 投放 同步 指导 各市 州 抓紧 地方 政府 猪肉 \u200b']"
65,43,,65_军事_钟嘉懿_陈煌_特战,"['军事', '钟嘉懿', '陈煌', '特战', '小嘉懿', '救命恩人', '武警', '敬礼', '军装', '共和']","['泸定 地震 获救 男孩 救人 武警 重逢 月 11 日 岁 钟嘉懿 见到 救命恩人 穿 军装 叔叔 敬礼 四川 泸定 地震 发生 磨西镇 共和 村 道路 桥梁 中断 水中 孤村 武警 特战 队员 陈煌 第一个 湍急 河流 之上 绳索 小嘉懿 救出 央视 军事 L 央视 军事 微博 视频 \u200b \u200b \u200b', '泸定 地震 获救 男孩 救人 武警 重逢 月 11 日 岁 钟嘉懿 见到 救命恩人 穿 军装 叔叔 敬礼 四川 泸定 地震 发生 磨西镇 共和 村 道路 桥梁 中断 水中 孤村 武警 特战 队员 陈煌 第一个 湍急 河流 之上 绳索 小嘉懿 救出 央视 军事 L 央视 军事 微博 视频 \u200b \u200b \u200b', '泸定 地震 获救 男孩 救人 武警 重逢 月 11 日 岁 钟嘉懿 见到 救命恩人 穿 军装 叔叔 敬礼 四川 泸定 地震 发生 磨西镇 共和 村 道路 桥梁 中断 水中 孤村 武警 特战 队员 陈煌 第一个 湍急 河流 之上 绳索 小嘉懿 救出 央视 军事 L 央视 军事 微博 视频 \u200b \u200b \u200b']"
66,43,,66_泪人_依依不舍_场面_决策,"['泪人', '依依不舍', '场面', '决策', '动容', '令人', '小朋友', '西部', '小学生', '前来']","['救援队 离开 震区 小学生 哭 成 泪人 依依不舍 场面 令人 动容 月 13 日 四川 泸定 参与 救援 工作 消防员 陆续 撤离 地震 灾区 一群 小朋友 前来 送别 现场 哭 成 泪人 小朋友 抱 消防员 依依不舍 场面 令人 动容 西部 决策 L 西部 决策 微博 视频 致敬 泸定 地震 救援 中 勇敢 身影 \u200b', '救援队 离开 震区 小学生 哭 成 泪人 依依不舍 场面 令人 动容 月 13 日 四川 泸定 参与 救援 工作 消防员 陆续 撤离 地震 灾区 一群 小朋友 前来 送别 现场 哭 成 泪人 小朋友 抱 消防员 依依不舍 场面 令人 动容 致敬 泸定 地震 救援 中 勇敢 身影 \u200b 西部 决策 L 西部 决策 微博 视频 \u200b \u200b \u200b', '救援队 离开 震区 小学生 哭 成 泪人 依依不舍 场面 令人 动容 月 13 日 四川 泸定 参与 救援 工作 消防员 陆续 撤离 地震 灾区 一群 小朋友 前来 送别 现场 哭 成 泪人 小朋友 抱 消防员 依依不舍 场面 令人 动容 西部 决策 L 西部 决策 微博 视频 致敬 泸定 地震 救援 中 勇敢 身影 \u200b']"
67,43,,67_台北_柔和_游客_妈妈,"['台北', '柔和', '游客', '妈妈', '点后', '后成', '超棒', '生死之交', '当晚', '路段']","['生死之交 台北 游客 泸定 获救 后成 志愿者 四川 泸定 地震 发生 台湾 台北 游客 李 柔和 妈妈 被困 海螺沟 景区 当晚 首批 消防 救援 力量 营救 转移 被困 游客 护送 危险 路段 到达 安置 点后 李 柔和 妈妈 主动 志愿者 队伍 运送 物资 说 消防员 超棒 温暖 好感 \u200b', '生死之交 台北 游客 泸定 获救 后成 志愿者 四川 泸定 地震 发生 台湾 台北 游客 李 柔和 妈妈 被困 海螺沟 景区 当晚 首批 消防 救援 力量 营救 转移 被困 游客 护送 危险 路段 到达 安置 点后 李 柔和 妈妈 主动 志愿者 队伍 运送 物资 说 消防员 超棒 温暖 好感 \u200b', '生死之交 台北 游客 泸定 获救 后成 志愿者 四川 泸定 地震 发生 台湾 台北 游客 李 柔和 妈妈 被困 海螺沟 景区 当晚 首批 消防 救援 力量 营救 转移 被困 游客 护送 危险 路段 到达 安置 点后 李 柔和 妈妈 主动 志愿者 队伍 运送 物资 说 消防员 超棒 温暖 好感 \u200b']"
68,43,,68_王晓晖_工作组_艳红_会见,"['王晓晖', '工作组', '艳红', '会见', '组长', '国家中医药管理局', '省委', '省政府', '党组书记', '国家']","['王晓晖 会见 国家 新冠 肺炎 疫情 防控 四川 工作组 组长 余 艳红 月 日 省委书记 王晓晖 成都 会见 国家 新冠 肺炎 疫情 防控 四川 工作组 组长 国家 卫生 健康 委 党组 成员 国家中医药管理局 党组书记 余 艳红 一行 \u3000 \u3000 王晓晖 代表 省委 省政府 工作组 来川 指导 感谢 指出 本轮 疫情 发生 省委 省 \u200b', '王晓晖 会见 国家 新冠 肺炎 疫情 防控 四川 工作组 组长 余 艳红 月 日 省委书记 王晓晖 成都 会见 国家 新冠 肺炎 疫情 防控 四川 工作组 组长 国家 卫生 健康 委 党组 成员 国家中医药管理局 党组书记 余 艳红 一行 \u3000 \u3000 王晓晖 代表 省委 省政府 工作组 来川 指导 感谢 指出 本轮 \u200b', '王晓晖 会见 国家 新冠 肺炎 疫情 防控 四川 工作组 组长 余 艳红 疫情 防控 月 日 省委书记 王晓晖 成都 会见 国家 新冠 肺炎 疫情 防控 四川 工作组 组长 国家 卫生 健康 委 党组 成员 国家中医药管理局 党组书记 余 艳红 一行 王晓晖 代表 省委 省政府 工作组 来川 指导 感谢 指出 本轮 疫情 发生 省 \u200b']"
69,42,,69_返校_多所_暂缓_大学,"['返校', '多所', '暂缓', '大学', '线上', '高校', '教学', '西南财经大学', '师生员工', '教材']","['四川 多所 高校 通知 暂缓 返校 启动 线上 教学 成都 疫情 防控 形势 确保 师生员工 身体健康 近日 四川大学 电子科技 大学 西南财经大学 西南 交通 大学 多所 高校 陆续 发布 暂缓 返校 通知 启动 线上 教育 ↓ ↓ 四川 发布 \u200b \u200b \u200b', '四川 多所 高校 通知 暂缓 返校 启动 线上 教学 成都 疫情 防控 形势 确保 师生员工 身体健康 近日 四川大学 电子科技 大学 西南财经大学 西南 交通 大学 多所 高校 陆续 发布 暂缓 返校 通知 启动 线上 教育 ↓ ↓ 四川 发布 \u200b \u200b \u200b', '四川 多所 高校 通知 暂缓 返校 启动 线上 教学 成都 疫情 防控 成都 疫情 防控 形势 确保 师生员工 身体健康 近日 四川大学 电子科技 大学 西南财经大学 西南 交通 大学 多所 高校 陆续 发布 暂缓 返校 通知 启动 线上 教育 ↓ ↓ 四川 发布 \u200b \u200b \u200b']"
70,42,地震救援,70_72_各路_纪录片_惊心动魄,"['72', '各路', '纪录片', '惊心动魄', '披露', '完整', '黄金', '还原', '一手', '艰险']","['泸定 地震 纪录片 丨 生死 救援 72 小时 2022 年 月 日 四川 泸定 发生 6.8 级 地震 各路 救援 力量 紧急 驰援 救灾 救援 过程 艰险 困难 首批 震区 救援 人员 讲述 一手 现场 视频 完整 披露 还原 惊心动魄 72 小时 黄金 救援 时间 ↓ ↓ 人民日报 L 应急 管理部 微博 视频 \u200b \u200b \u200b', '泸定 地震 纪录片 丨 生死 救援 72 小时 2022 年 月 日 四川 泸定 发生 6.8 级 地震 各路 救援 力量 紧急 驰援 救灾 救援 过程 艰险 困难 首批 震区 救援 人员 讲述 一手 现场 视频 完整 披露 还原 惊心动魄 72 小时 黄金 救援 时间 ↓ ↓ 人民日报 L 应急 管理部 微博 视频 \u200b \u200b \u200b', '泸定 地震 纪录片 丨 生死 救援 72 小时 2022 年 月 日 四川 泸定 发生 6.8 级 地震 各路 救援 力量 紧急 驰援 救灾 救援 过程 艰险 困难 首批 震区 救援 人员 讲述 一手 现场 视频 完整 披露 还原 惊心动魄 72 小时 黄金 救援 时间 ↓ ↓ 人民日报 L 应急 管理部 微博 视频 \u200b \u200b \u200b']"
71,41,,71_野生_猕猴桃_地上_他活,"['野生', '猕猴桃', '地上', '他活', '病房', '绝望', '想念', '眼镜', '500', '会梦到']","['甘宇 讲述 被困 过程 甘宇 说 绝望 时 想念 家人 他活 地震 时 丢 500 度 眼镜 摸 地上 野生 猕猴桃 吃 月 26 日 四川 成都 泸定 地震 失联 17 天后 获救 甘宇 华西 医院 ICU 病房 转入 病房 红星 新闻记者 甘宇 身体 恢复 获救 天 甘宇 会梦到 求生 场 \u200b', '甘宇 讲述 被困 过程 甘宇 说 绝望 时 想念 家人 他活 地震 时 丢 500 度 眼镜 摸 地上 野生 猕猴桃 吃 月 26 日 四川 成都 泸定 地震 失联 17 天后 获救 甘宇 华西 医院 ICU 病房 转入 病房 红星 新闻记者 甘宇 身体 恢复 获救 天 甘宇 会梦到 求生 场 \u200b', '甘宇 讲述 被困 过程 甘宇 说 绝望 时 想念 家人 他活 地震 时 丢 500 度 眼镜 摸 地上 野生 猕猴桃 吃 月 26 日 四川 成都 泸定 地震 失联 17 天后 获救 甘宇 华西 医院 ICU 病房 转入 病房 红星 新闻记者 甘宇 身体 恢复 获救 天 甘宇 会梦到 求生 场 \u200b']"
72,41,,72_举报_扫黑_黑恶势力_除恶,"['举报', '扫黑', '黑恶势力', '除恶', '深圳', '反黑', '保护伞', '祖国', '撕掉', '护身符']","['\ue627 深圳 身边 事 \ue627 微博 \ue627 网络 举报 \ue627 祖国 反黑 站 \ue627 扫黑 风暴 \ue627 网络 举报 剪破 黑恶势力 交织 关系网 ## 扫黑 除恶 ## 撕掉 黑恶势力 护身符 ## 扫黑 除恶 打击 黑恶势力 保护伞 ## 扫黑 除恶 举报 平台 \ue627 深圳 深圳 爆料 深圳 微博 发布厅 深圳市 府委 415 两死 一伤 惨案 发生 闹市 \u200b', '\ue627 中国 赞 \ue627 微博 \ue627 网络 举报 \ue627 祖国 反黑 站 \ue627 扫黑 风暴 \ue627 网络 举报 剪破 黑恶势力 交织 关系网 ## 扫黑 除恶 ## 撕掉 黑恶势力 护身符 ## 扫黑 除恶 打击 黑恶势力 保护伞 ## 扫黑 除恶 举报 平台 \ue627 深圳 深圳 爆料 深圳 微博 发布厅 深圳市 府委 415 两死 一伤 惨案 发生 闹市 \u200b', '\ue627 中国 赞 \ue627 微博 \ue627 网络 举报 \ue627 祖国 反黑 站 \ue627 扫黑 风暴 \ue627 网络 举报 剪破 黑恶势力 交织 关系网 ## 扫黑 除恶 ## 撕掉 黑恶势力 护身符 ## 扫黑 除恶 打击 黑恶势力 保护伞 ## 扫黑 除恶 举报 平台 \ue627 深圳 深圳 爆料 深圳 微博 发布厅 深圳市 府委 415 两死 一伤 惨案 发生 闹市 \u200b']"
73,40,,73_小姐姐_快餐_大邑县_只卖,"['小姐姐', '快餐', '大邑县', '只卖', '盒饭', '免费送', '走红', '百余', '生病', '开门']","['暖心 成都 快餐 小姐姐 免费 一线 人员 送餐 月 日 四川 成都 大邑县 快餐 小姐姐 盒饭 只卖 10 元 一份 走红 网络 得知 成都 疫情 小姐姐 自愿 成都 大邑县 城区 一线 工作人员 免费送 百余 份 爱心 餐 朋友 问 做 快餐 小姐姐 城市 生病 餐饮 开门 \u200b', '暖心 成都 快餐 小姐姐 免费 一线 人员 送餐 月 日 四川 成都 大邑县 快餐 小姐姐 盒饭 只卖 10 元 一份 走红 网络 得知 成都 疫情 小姐姐 自愿 成都 大邑县 城区 一线 工作人员 免费送 百余 份 爱心 餐 朋友 问 做 快餐 小姐姐 城市 生病 餐饮 开门 \u200b', '暖心 成都 快餐 小姐姐 免费 一线 人员 送餐 月 日 四川 成都 大邑县 快餐 小姐姐 盒饭 只卖 10 元 一份 走红 网络 得知 成都 疫情 小姐姐 自愿 成都 大邑县 城区 一线 工作人员 免费送 百余 份 爱心 餐 朋友 问 做 快餐 小姐姐 城市 生病 餐饮 开门 \u200b']"
74,39,,74_蔡阳村_秋夜_疾病_老人,"['蔡阳村', '秋夜', '疾病', '老人', '突发', '下山', '泥泞', '腹痛', '八十岁', '炉霍']","['中 秋夜 震中 孤岛 八旬 老人 突发 疾病 民警 背 下山 救治 群众 办实事 中 秋夜 蔡阳村 安置 点 八十岁 老人 突发 疾病 剧烈 腹痛 蔡阳村 属 四川 泸定 6.8 级 地震 震中 孤岛 道路 阻断 车辆 直达 雨 山路 泥泞 河流 湍急 炉霍 公安 海螺沟 分局 驻 安置 点 民警 争分夺秒 接力 老人 背 下山 \u200b', '中 秋夜 震中 孤岛 八旬 老人 突发 疾病 民警 背 下山 救治 群众 办实事 中 秋夜 蔡阳村 安置 点 八十岁 老人 突发 疾病 剧烈 腹痛 蔡阳村 属 四川 泸定 6.8 级 地震 震中 孤岛 道路 阻断 车辆 直达 雨 山路 泥泞 河流 湍急 炉霍 公安 海螺沟 分局 驻 安置 点 民警 争分夺秒 接力 老人 背 下山 \u200b', '中 秋夜 震中 孤岛 八旬 老人 突发 疾病 民警 背 下山 救治 群众 办实事 中 秋夜 蔡阳村 安置 点 八十岁 老人 突发 疾病 剧烈 腹痛 蔡阳村 属 四川 泸定 6.8 级 地震 震中 孤岛 道路 阻断 车辆 直达 雨 山路 泥泞 河流 湍急 炉霍 公安 海螺沟 分局 驻 安置 点 民警 争分夺秒 接力 老人 背 下山 \u200b']"
75,39,驰援灾区,75_福基会_社会福利_驰援_基金会,"['福基会', '社会福利', '驰援', '基金会', '虽远必', '人若犯', 'zhu', '项目', '大小', '同路']","['福基会 驰援 9.5 四川 泸定 地震 爱 同路 爱 回家 福基会 驰援 9.5 四川 泸定 地震 项目 捐款 成功 愿 人若犯 虽远必 zhu 放大 爱 力量 中国 社会福利 基金会 福基会 驰援 9.5 四川 泸定 地震 \u200b', '福基会 驰援 9.5 四川 泸定 地震 爱 同路 爱 回家 福基会 驰援 9.5 四川 泸定 地震 项目 捐款 成功 愿 人若犯 虽远必 zhu 放大 爱 力量 中国 社会福利 基金会 福基会 驰援 9.5 四川 泸定 地震 \u200b', '福基会 驰援 9.5 四川 泸定 地震 爱 同路 爱 回家 福基会 驰援 9.5 四川 泸定 地震 项目 捐款 成功 愿 人若犯 虽远必 zhu 放大 爱 力量 中国 社会福利 基金会 福基会 驰援 9.5 四川 泸定 地震 \u200b']"
76,39,,76_转发_后盾_筑起_闻令,"['转发', '后盾', '筑起', '闻令', '中国联通', '而动', '坚强', '央企', '长沙', '办实事']","['转发 微博 转发 微博 转发 微博 长沙 联通 发布 ## 中国联通 群众 办实事 ## 抗震救灾 央企 ## 四川 泸定 地震 中国联通 闻令 而动 奔赴 震中 泸定 人民 筑起 坚强 通信 后盾', '转发 微博 转发 微博 长沙 联通 发布 ## 中国联通 群众 办实事 ## 抗震救灾 央企 ## 四川 泸定 地震 中国联通 闻令 而动 奔赴 震中 泸定 人民 筑起 坚强 通信 后盾', '转发 微博 转发 微博 转发 微博 长沙 联通 发布 ## 中国联通 群众 办实事 ## 抗震救灾 央企 ## 四川 泸定 地震 中国联通 闻令 而动 奔赴 震中 泸定 人民 筑起 坚强 通信 后盾']"
77,39,救灾一线,77_勇敢_非凡_勇气_人用,"['勇敢', '非凡', '勇气', '人用', '勇开', '创造', '总有', '一次次', '飞架', '义无反顾']","['致敬 泸定 地震 救援 中 勇敢 身影 四川 泸定 地震 救援 期间 救援 人员 飞架 生命 桥 勇开 泄洪闸 24 勇士 勇敢 逆行 … … 一次次 义无反顾 突如其来 自然灾害 面前 总有 人用 非凡 勇气 更 创造 生 希望 抗震救灾 转入 过渡 安置 恢复 重建 阶段 灾难 终 \u200b', '致敬 泸定 地震 救援 中 勇敢 身影 四川 泸定 地震 救援 期间 救援 人员 飞架 生命 桥 勇开 泄洪闸 24 勇士 勇敢 逆行 … … 一次次 义无反顾 突如其来 自然灾害 面前 总有 人用 非凡 勇气 更 创造 生 希望 抗震救灾 转入 过渡 安置 恢复 重建 阶段 灾难 终 \u200b', '致敬 泸定 地震 救援 中 勇敢 身影 四川 泸定 地震 救援 期间 救援 人员 飞架 生命 桥 勇开 泄洪闸 24 勇士 勇敢 逆行 … … 一次次 义无反顾 突如其来 自然灾害 面前 总有 人用 非凡 勇气 更 创造 生 希望 抗震救灾 转入 过渡 安置 恢复 重建 阶段 灾难 终 \u200b']"
78,38,救灾一线,78_新华社_十几天_出院_鲜血,"['新华社', '十几天', '出院', '鲜血', '直流', '大于', '车子', '挡住', '砸伤', '中以']","['泸定 地震 开车 挡 石救 出院 近日 十几天 治疗 康复 四川 泸定 地震 中以 车挡 石救下 杨光 银 出院 地震 发生 时 驾驶 水泥 罐车 名 工人 挡住 垮塌 山体 左臂 头部 砸伤 鲜血 直流 车子 损毁 买 生命 大于 天 新华社 L 新华社 微博 视频 \u200b', '泸定 地震 开车 挡 石救 出院 近日 十几天 治疗 康复 四川 泸定 地震 中以 车挡 石救下 杨光 银 出院 地震 发生 时 驾驶 水泥 罐车 名 工人 挡住 垮塌 山体 左臂 头部 砸伤 鲜血 直流 车子 损毁 买 生命 大于 天 新华社 新华社 微博 视频 \u200b \u200b', '泸定 地震 开车 挡 石救 出院 近日 十几天 治疗 康复 四川 泸定 地震 中以 车挡 石救下 杨光 银 出院 地震 发生 时 驾驶 水泥 罐车 名 工人 挡住 垮塌 山体 左臂 头部 砸伤 鲜血 直流 车子 损毁 买 生命 大于 天 新华社 L 新华社 微博 视频 \u200b']"
79,38,救灾一线,79_孤岛_特警_勇士_滞留,"['孤岛', '特警', '勇士', '滞留', '216', '海螺沟', '具备', '营地', '条件', '撑起']","['24 名 滞留 震区 孤岛 特警 平安 四川省 公安厅 消息 上午 救援 指挥部 滞留 孤岛 24 名 特警 取得联系 全员 平安 指挥部 第一 时间 直升机 落实 启航 情况 条件 具备 接应 返程 此前 四川 泸定 发生 6.8 级 地震 甘孜 24 名 特警 率先 挺进 孤岛 海螺沟 景区 216 名 被困 人员 转移 \u200b', '24 名 滞留 震区 孤岛 特警 平安 四川省 公安厅 消息 上午 救援 指挥部 滞留 孤岛 24 名 特警 取得联系 全员 平安 指挥部 第一 时间 直升机 落实 启航 情况 条件 具备 接应 返程 此前 四川 泸定 发生 6.8 级 地震 甘孜 24 名 特警 率先 挺进 孤岛 海螺沟 景区 216 名 被困 人员 转移 \u200b', '24 名 滞留 震区 孤岛 特警 平安 四川省 公安厅 消息 上午 救援 指挥部 滞留 孤岛 24 名 特警 取得联系 全员 平安 指挥部 第一 时间 直升机 落实 启航 情况 条件 具备 接应 返程 此前 四川 泸定 发生 6.8 级 地震 甘孜 24 名 特警 率先 挺进 孤岛 海螺沟 景区 216 名 被困 人员 转移 \u200b']"
80,38,,80_火龙果_好吃_减肥_生意,"['火龙果', '好吃', '减肥', '生意', '开心', '不行', '男朋友', '玩儿', '公公', '邮寄']","['想 吃 卤面 婆婆 做 卤面 得配 糖蒜 我妈 腌 一大 罐 放在 公公 婆婆 家 下雨 婆婆 公公 开车 回去 取 一小 罐来 久违 抱 豆 喵 睡 睡 好久 怀里 一点 生病 小朋友 缠 妈妈 妈妈 抱抱 胳膊 紧紧 箍 住 喜欢 笑 笑 眼睛 弯弯 小朋友 好多 \u200b', '爱人 治愈 一半 人间 疾苦 谈恋爱 胖 这张 卡片 七月份 热 想 下定决心 减肥 两张 刮刮卡 一张 目标 50 公斤 一张 55 公斤 设置 两个 奖励 减肥 之路 有个 奔头 不出所料 减肥 决心 一周 不到 天气 慢慢 热 \u200b', '隔离 餐 饭后 火龙果 有个 医护 做 完 核酸 门口 说 一句 吃 好好 噢 吃 火龙果 诶 医护 没 听到 说话 一句 孩子 估计 快 关封 一秒 火龙果 说 哇塞 想 吃 火龙果 想 吃 三四个 医护 说 想 吃 火龙果 \u200b']"
81,38,信息发布,81_小布_播报_官微_来源,"['小布', '播报', '官微', '来源', '冠状病毒', '新型', '健康', '最新', '情况', '发布']","['小布 播报 四川省 新型 冠状病毒 肺炎 疫情 最新 情况 月 17 日 发布 来源 健康 四川 官微 \u200b \u200b \u200b', '小布 播报 四川省 新型 冠状病毒 肺炎 疫情 最新 情况 月 17 日 发布 来源 健康 四川 官微 \u200b \u200b \u200b \u200b', '小布 播报 四川省 新型 冠状病毒 肺炎 疫情 最新 情况 月 17 日 发布 来源 健康 四川 官微 \u200b \u200b \u200b']"
82,37,,82_会诊_初步_骨折_华西,"['会诊', '初步', '骨折', '华西', '肋骨', '腓骨', '挫伤', '软组织', '多科', '下肢']","['医生 甘宇 发现 位置 生存 很难 月 21 日晚 泸定 地震 失联 17 天 甘宇 转运 四川大学 华西 医院 华西 医院 多科 会诊 初步 诊断 甘宇 全身 多处 软组织 挫伤 肋骨 骨折 左 下肢 腓骨 骨折 会诊 医生 甘宇 失联 17 天中 天 淋雨 感染 抵达 华西 医院 前 甘宇 泸定县 人民 医院 接受 初步 救治 \u200b', '医生 甘宇 发现 位置 生存 很难 月 21 日晚 泸定 地震 失联 17 天 甘宇 转运 四川大学 华西 医院 华西 医院 多科 会诊 初步 诊断 甘宇 全身 多处 软组织 挫伤 肋骨 骨折 左 下肢 腓骨 骨折 会诊 医生 甘宇 失联 17 天中 天 淋雨 感染 抵达 华西 医院 前 甘宇 泸定县 人民 医院 接受 初步 救治 \u200b', '愿 平安 ? 医生 甘宇 发现 位置 生存 很难 月 21 日晚 泸定 地震 失联 17 天 甘宇 转运 四川大学 华西 医院 华西 医院 多科 会诊 初步 诊断 甘宇 全身 多处 软组织 挫伤 肋骨 骨折 左 下肢 腓骨 骨折 会诊 医生 甘宇 失联 17 天中 天 淋雨 感染 抵达 华西 医院 前 甘宇 泸定县 人民 医院 接受 \u200b']"
